,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
487,N/A,Beauty and the Beast,lowbrow,Gary Trousdale,1991,126870,"['Animation', 'Family', 'Fantasy', 'Romance']",USA,3.92029242531725,181,503,461,3003,4041,19903,19504,37653,13452,28171
488,N/A,Avengers: Endgame,lowbrow,Anthony Russo,2019,392446,"['Adventure', 'Science Fiction', 'Action']",USA,3.91555398704535,2314,4500,3144,13343,14934,52377,50749,102325,51206,97554
489,N/A,35 Shots of Rum,lowbrow,Claire Denis,2008,4867,['Drama'],France,3.9228477501541,11,26,26,92,168,528,810,1593,876,737
490,N/A,Bush Mama,lowbrow,Haile Gerima,1979,451,['Drama'],USA,3.97228381374723,3,3,6,7,14,43,62,137,90,86
491,N/A,Kireedam,lowbrow,Sibi Malayil,1989,298,['Drama'],India,4.00167785234899,1,1,3,11,11,24,33,90,61,63
492,N/A,Femmes femmes,lowbrow,Paul Vecchiali,1974,291,"['Comedy', 'Drama']",France,3.98969072164948,3,2,2,7,11,29,33,83,53,68
493,N/A,Balangiga: Howling Wilderness,lowbrow,Khavn,2017,341,['History'],Philippines,3.98826979472141,2,2,1,10,21,35,38,86,58,88
494,N/A,Bait,lowbrow,Mark Jenkin,2019,6234,['Drama'],UK,3.91321783766442,24,48,45,136,208,594,1034,2079,1143,923
495,N/A,Thoovanathumbikal,lowbrow,P  Padmarajan,1987,328,"['Romance', 'Drama']",India,3.99542682926829,0,1,3,8,16,32,34,104,64,66
496,N/A,West Side Avenue,lowbrow,Lav Diaz,2001,277,"['Drama', 'Crime', 'Mystery']",Philippines,4.0072202166065,2,1,2,10,12,31,35,61,39,84
497,N/A,Vitalina Varela,lowbrow,Pedro Costa,2019,3223,['Drama'],Portugal,3.90862550418864,15,37,35,92,121,356,471,897,571,628
498,N/A,The Return of the Prodigal Son,lowbrow,Youssef Chahine,1976,399,"['Music', 'Drama']",Egypt,3.97117794486216,0,4,5,10,16,45,49,111,65,94
499,N/A,The Middleman,lowbrow,Satyajit Ray,1976,309,['Drama'],India,3.98867313915858,2,2,3,4,11,35,31,98,62,61
500,N/A,"Rio, 40 Degrees C.",lowbrow,Nelson Pereira dos Santos,1955,900,['Drama'],Brazil,3.94111111111111,3,4,4,17,23,93,148,311,174,124
