,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
241,242,Meet Me in St. Louis,highbrow,Vincente Minnelli,1944,11492,"['Comedy', 'Romance', 'Drama', 'Family']",USA,3.79846849982597,23,57,74,344,508,1879,2161,3261,1310,1875
244,245,Bonnie and Clyde,highbrow,Arthur Penn,1967,33312,"['Drama', 'Crime']",USA,3.88840357829011,20,72,113,572,895,4054,6422,12135,4853,4176
246,247,The Band Wagon,highbrow,Vincente Minnelli,1953,5047,"['Music', 'Romance', 'Comedy']",USA,3.79542302357836,5,23,32,131,232,815,998,1411,684,716
249,250,Tabu,highbrow,F.W. Murnau,1931,3242,"['Romance', 'Adventure', 'Drama']",USA,3.8928130783467,2,12,11,80,117,388,612,1024,487,509
250,251,Freaks,highbrow,Tod Browning,1932,22166,"['Horror', 'Drama']",USA,3.90228277542182,33,85,93,455,648,2821,3841,7668,2923,3599
256,257,Memories of Underdevelopment,highbrow,Tomás Gutiérrez Alea,1968,3631,['Drama'],Cuba,3.85238226383916,10,24,33,105,124,418,659,1153,616,489
259,260,The Story of the Last Chrysanthemum,highbrow,Kenji Mizoguchi,1939,3011,"['Romance', 'Drama']",Japan,3.7200265692461,2,5,11,45,56,196,392,819,595,607
260,261,"Ivan the Terrible, Part I",highbrow,Sergei Eisenstein,1944,3789,"['Drama', 'History']",Russian Federation,3.86579572446556,3,16,38,79,157,482,685,1208,516,605
261,262,Faces,highbrow,John Cassavetes,1968,7945,['Drama'],USA,3.89433606041536,27,47,46,229,308,898,1318,2433,1302,1337
262,263,Mean Streets,highbrow,Martin Scorsese,1973,52172,"['Drama', 'Crime']",USA,3.67723108180633,55,219,271,1340,2268,9205,13383,16141,5248,4042
266,267,Broken Blossoms,highbrow,D. W. Griffith,1919,4936,"['Romance', 'Drama']",USA,3.44165316045381,53,95,113,299,417,959,974,1152,415,459
268,269,Eraserhead,highbrow,David Lynch,1977,83638,"['Fantasy', 'Horror']",USA,3.93557354312633,658,1116,697,2549,2660,8940,11143,24106,12349,19422
270,271,The Maltese Falcon,highbrow,John Huston,1941,35521,"['Crime', 'Thriller', 'Mystery']",USA,3.94211874665691,35,105,116,606,944,4249,6135,11992,5446,5893
277,278,Monsieur Verdoux,highbrow,Charlie Chaplin,1947,5685,"['Comedy', 'Drama', 'Crime']",USA,3.89393139841689,9,22,22,109,193,634,1095,1908,909,784
280,281,Husbands,highbrow,John Cassavetes,1970,5695,"['Drama', 'Comedy']",USA,3.76602282704126,26,60,71,218,302,736,985,1660,807,830
282,283,Monsieur Hulot's Holiday,highbrow,Jacques Tati,1953,9238,['Comedy'],France,3.70502273219312,19,74,84,310,501,1508,1946,2647,1046,1103
286,287,Pandora's Box,highbrow,G.W. Pabst,1929,4868,"['Crime', 'Romance', 'Drama']",Germany,3.88711996713229,9,25,40,104,194,630,801,1503,751,811
288,289,The Birth of a Nation,highbrow,D. W. Griffith,1915,11100,"['War', 'Drama', 'History']",USA,2.4513963963964,1944,1151,551,1240,1107,1772,1039,1216,406,674
292,293,Videodrome,highbrow,David Cronenberg,1983,59503,"['Science Fiction', 'Horror', 'Mystery']",Canada,3.84295749794128,119,386,372,1527,2302,7967,10992,18632,8152,9054
298,299,Weekend,highbrow,Jean-Luc Godard,1967,10540,"['Comedy', 'Adventure', 'Drama']",France,3.72457305502846,108,166,178,491,575,1372,1679,2719,1556,1696
299,300,Touki Bouki,highbrow,Djibril Diop Mambéty,1973,4596,"['Romance', 'Drama']",Senegal,3.81364229765013,6,24,29,113,194,587,959,1451,691,543
301,302,Snow White and the Seven Dwarfs,highbrow,David Hand,1937,81649,"['Animation', 'Fantasy', 'Family']",USA,3.53402981053044,245,889,714,4046,4877,20867,15807,20473,4609,9125
306,307,The Puppetmaster,highbrow,Hou Hsiao-hsien,1993,1108,"['Mystery', 'Drama', 'War']",Taiwan,3.77346570397112,3,18,12,57,49,140,209,262,175,184
309,310,In the Realm of the Senses,highbrow,Nagisa Ōshima,1976,9338,"['Romance', 'Drama']",Japan,3.55841721996145,89,179,165,478,564,1571,1933,2392,980,987
310,311,Stranger Than Paradise,highbrow,Jim Jarmusch,1984,18541,"['Comedy', 'Drama']",Germany,3.83180518850116,32,82,119,375,622,2454,3801,6233,2497,2326
313,314,Cabaret,highbrow,Bob Fosse,1972,22360,"['Music', 'Drama', 'Romance']",USA,3.91795617173524,36,96,92,503,752,2730,3805,7132,3276,3938
320,321,Eyes Without a Face,highbrow,Georges Franju,1960,27732,"['Thriller', 'Horror', 'Drama']",France,3.93112649646618,18,54,74,332,634,2873,5320,10632,4304,3492
322,323,A Canterbury Tale,highbrow,Emeric Pressburger,1944,2420,"['Comedy', 'Drama', 'Mystery']",UK,3.77871900826446,2,9,12,81,106,385,467,728,334,297
327,328,Days of Being Wild,highbrow,Wong Kar-wai,1990,11789,"['Crime', 'Drama', 'Romance']",Hong Kong,3.7964628043091,13,34,50,220,410,1632,2727,4020,1519,1164
329,330,West Side Story,highbrow,Robert Wise,1961,51660,"['Romance', 'Drama', 'Crime']",USA,3.77367402245451,181,465,412,1870,2262,8254,8982,14925,6129,8180
332,333,Wanda,highbrow,Barbara Loden,1970,6655,"['Drama', 'Crime']",USA,3.82148760330578,17,35,51,175,256,828,1358,2134,912,889
335,336,Eyes Wide Shut,highbrow,Stanley Kubrick,1999,124738,"['Thriller', 'Drama', 'Mystery']",UK,3.92944411486476,433,1293,855,4212,3768,14614,17067,36269,20565,25664
337,338,The Tenant,highbrow,Roman Polanski,1976,15777,"['Fantasy', 'Horror', 'Thriller']",France,3.83197059009951,31,107,109,368,589,1886,3108,5304,2329,1946
344,345,Listen to Britain,highbrow,Humphrey Jennings,1942,1242,['Documentary'],UK,3.22020933977456,6,18,20,103,141,375,258,219,48,54
