,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
228,229,Tropical Malady,common,Apichatpong Weerasethakul,2004,6311,"['Drama', 'Romance', 'Fantasy']",Thailand,4.04729836792901,13,39,46,147,195,584,808,1697,1263,1519
229,230,"Paris, Texas",common,Wim Wenders,1984,60931,['Drama'],France,4.33149792388111,63,148,139,589,756,3031,5105,15234,13520,22346
230,231,Paths of Glory,common,Stanley Kubrick,1957,56517,"['Drama', 'War']",USA,4.34761222287099,19,57,53,233,387,2203,4529,15756,15500,17780
231,232,Germany Year Zero,common,Roberto Rossellini,1948,6645,"['Drama', 'War']",Germany,3.95086531226486,2,18,17,102,153,724,1231,2295,1126,979
232,233,Only Angels Have Wings,common,Howard Hawks,1939,8553,"['Adventure', 'Romance', 'Drama']",USA,4.04787793756577,4,21,31,119,224,868,1381,2416,1585,1904
233,234,Diary of a Country Priest,common,Robert Bresson,1951,7456,['Drama'],France,4.00368830472103,13,22,41,160,223,753,1122,2284,1276,1564
234,235,The Treasure of the Sierra Madre,common,John Huston,1948,22875,"['Adventure', 'Drama', 'Western']",USA,4.18262295081967,13,26,39,196,336,1509,2756,7250,5137,5613
236,237,Sullivan's Travels,common,Preston Sturges,1941,12471,"['Romance', 'Comedy', 'Adventure']",USA,3.99546948921498,4,30,33,189,342,1216,2173,4052,2217,2215
239,240,F for Fake,common,Orson Welles,1973,17014,['Documentary'],Germany,4.07487951099095,27,48,61,284,406,1429,2535,5079,3213,3932
240,241,Night of the Living Dead,common,George A. Romero,1968,64132,['Horror'],USA,3.99385642113142,64,217,266,1161,1547,7175,9911,21261,9222,13308
242,243,The Crowd,common,King Vidor,1928,3389,['Drama'],USA,4.08778400708174,4,2,12,50,68,321,492,998,671,773
243,244,La Notte,common,Michelangelo Antonioni,1961,13513,['Drama'],Italy,4.20099163768223,15,31,35,140,219,866,1564,3947,2981,3715
245,246,Johnny Guitar,common,Nicholas Ray,1954,10557,"['Western', 'Drama']",USA,4.05830254807237,9,31,38,159,255,1000,1596,3181,1909,2379
247,248,Cléo from 5 to 7,common,Agnès Varda,1962,33136,"['Comedy', 'Drama']",France,4.16444350555287,19,50,57,256,449,2074,4118,11270,7433,7410
248,249,The Color of Pomegranates,common,Sergei Parajanov,1969,9419,"['History', 'Drama']",Armenia,4.07559188873553,43,66,81,218,272,838,1057,2534,1673,2637
251,252,The Executioner,common,Luis García Berlanga,1963,3323,"['Comedy', 'Drama']",Spain,3.95937405958471,3,7,12,40,82,302,633,1233,536,476
252,253,The Shop Around the Corner,common,Ernst Lubitsch,1940,12032,"['Comedy', 'Romance']",USA,4.08701795212766,4,16,24,95,189,1009,1839,4126,2318,2412
253,254,The Thing,common,John Carpenter,1982,159051,"['Science Fiction', 'Horror', 'Mystery']",USA,4.29883496488548,136,365,278,1569,1858,9765,14526,42957,29696,57901
254,255,The Life of Oharu,common,Kenji Mizoguchi,1952,4051,['Drama'],Japan,4.1468773142434,2,5,4,36,84,300,519,1269,895,937
255,256,Magnolia,common,Paul Thomas Anderson,1999,102374,['Drama'],USA,4.14117842420927,279,613,427,2002,2076,8124,10953,28585,20521,28794
257,258,Floating Clouds,common,Mikio Naruse,1955,2077,"['Romance', 'Drama']",Japan,3.96605681271064,0,9,8,40,60,226,338,681,367,350
258,259,The Thin Blue Line,common,Errol Morris,1988,17367,"['Documentary', 'Mystery', 'Crime']",USA,4.03385731559855,7,28,42,196,365,1598,2593,6309,3187,3042
263,264,Meshes of the Afternoon,common,Maya Deren,1943,16282,"['Fantasy', 'Mystery']",USA,4.16938950988822,43,87,76,239,325,1152,1717,4887,2841,4915
264,265,In a Lonely Place,common,Nicholas Ray,1950,18464,"['Mystery', 'Thriller']",USA,4.16274913344887,10,24,28,139,268,1237,2421,5962,4131,4244
265,266,"Distant Voices, Still Lives",common,Terence Davies,1988,3163,"['Drama', 'Music']",UK,3.99794498893456,8,17,25,74,99,305,490,856,615,674
267,268,Kings of the Road,common,Wim Wenders,1976,3012,['Drama'],Germany,3.94787516600266,6,11,8,59,107,326,481,972,560,482
269,270,Beauty and the Beast,common,Jean Cocteau,1946,13010,"['Romance', 'Drama', 'Fantasy']",France,4.04269792467333,10,40,36,215,320,1219,1947,4195,2250,2778
271,272,Three Colors: Red,common,Krzysztof Kieślowski,1994,35138,"['Romance', 'Mystery', 'Drama']",France,4.2329671580625,21,73,52,286,450,2216,3580,10593,8011,9856
272,273,Throne of Blood,common,Akira Kurosawa,1957,24896,"['Drama', 'History']",Japan,4.18354354113111,14,22,41,173,265,1405,2968,8588,6001,5419
273,274,My Night at Maud's,common,Éric Rohmer,1969,8383,"['Comedy', 'Romance', 'Drama']",France,4.08869139926041,6,16,18,107,160,671,1195,2679,1902,1629
274,275,Love Streams,common,John Cassavetes,1984,5711,['Drama'],USA,4.12423393451234,8,23,24,108,150,434,674,1621,1181,1488
275,276,The Wages of Fear,common,Henri-Georges Clouzot,1953,13598,"['Drama', 'Adventure', 'Thriller']",France,4.23205618473305,16,31,34,104,190,725,1449,3940,3554,3555
276,277,Day of Wrath,common,Carl Theodor Dreyer,1943,5243,"['Drama', 'Romance']",Denmark,4.14047301163456,1,6,7,62,89,382,704,1672,1146,1178
278,279,Peeping Tom,common,Michael Powell,1960,19584,"['Thriller', 'Drama', 'Horror']",UK,3.96045241013072,18,67,64,312,504,1983,3411,6746,3522,2957
279,280,Cinema Paradiso,common,Giuseppe Tornatore,1988,56769,"['Drama', 'Romance']",Italy,4.30117669855027,72,166,154,604,821,3259,5080,14594,11096,20923
281,282,The Empire Strikes Back,common,Irvin Kershner,1980,314324,"['Science Fiction', 'Adventure', 'Action']",USA,4.41998861047836,266,551,319,2259,2404,17796,19990,73826,51208,145705
283,284,Three Colors: Blue,common,Krzysztof Kieślowski,1993,47163,['Drama'],France,4.11453893942285,48,113,104,562,779,3712,6299,15553,9380,10617
284,285,The Matrix,common,Lilly Wachowski,1999,313127,"['Science Fiction', 'Action']",Australia,4.13317599568226,410,1389,954,5198,5109,29411,33839,97768,49992,89062
285,286,This Is Spinal Tap,common,Rob Reiner,1984,50317,"['Music', 'Comedy']",USA,3.94439255122523,64,197,207,1052,1389,5829,8357,17006,6973,9243
287,288,Crimes and Misdemeanors,common,Woody Allen,1989,18651,"['Comedy', 'Drama']",USA,3.96335317141172,43,87,78,311,492,2054,3048,5968,3418,3152
289,290,The Big Sleep,common,Howard Hawks,1946,22885,"['Thriller', 'Mystery', 'Crime']",USA,3.95523268516496,23,55,65,373,608,2538,3880,8033,3581,3729
290,291,Daisies,common,Věra Chytilová,1966,19262,"['Comedy', 'Fantasy']",Czechoslovakia,3.96781227286886,88,155,136,467,600,1988,2951,5565,3043,4269
291,292,The Kid,common,Charlie Chaplin,1921,29676,"['Comedy', 'Drama']",USA,4.12872354764793,16,37,43,236,376,2179,4081,10539,5648,6522
293,294,Where Is My Friend's House?,common,Abbas Kiarostami,1987,11938,['Drama'],Iran,4.19672474451332,9,25,25,73,139,618,1468,4015,2684,2882
294,295,An Autumn Afternoon,common,Yasujirō Ozu,1962,7226,['Drama'],Japan,4.20391641295322,2,12,9,54,82,468,787,2324,1743,1748
295,296,Dawn of the Dead,common,George A. Romero,1978,43738,['Horror'],Italy,3.97036901550139,83,213,203,981,1280,5297,6452,13582,6202,9445
296,297,Make Way for Tomorrow,common,Leo McCarey,1937,5126,['Drama'],USA,4.19605930550137,4,17,19,53,92,332,604,1417,1215,1376
297,298,Underground,common,Emir Kusturica,1995,7348,"['Drama', 'War', 'Comedy']",Bulgaria,4.14459716929777,23,31,36,133,158,489,848,2131,1524,1976
300,301,Killer of Sheep,common,Charles Burnett,1978,6216,['Drama'],USA,3.96702059202059,11,47,45,154,197,659,935,1864,974,1330
302,303,City of God,common,Fernando Meirelles,2002,119753,"['Crime', 'Drama']",Brazil,4.36875485374062,111,240,166,835,1090,5184,8738,31308,27080,45001
303,304,Red Desert,common,Michelangelo Antonioni,1964,10541,['Drama'],France,3.96959491509344,20,47,64,287,351,1127,1493,3172,1911,2069
304,305,The Music Room,common,Satyajit Ray,1958,3529,"['Drama', 'Music']",India,4.06007367526211,9,16,17,48,84,267,500,1142,746,700
305,306,Back to the Future,common,Robert Zemeckis,1985,301001,"['Family', 'Adventure', 'Comedy', 'Science Fiction']",USA,4.22752249992525,202,675,482,3286,3574,26297,29923,89717,42474,104372
307,308,The Last Picture Show,common,Peter Bogdanovich,1971,20498,['Drama'],USA,4.10876670894721,32,74,52,305,410,1587,2695,6326,4328,4689
308,309,All About My Mother,common,Pedro Almodóvar,1999,36107,"['Comedy', 'Drama']",Spain,4.05422771207799,55,133,118,446,755,3009,5277,12626,6353,7336
311,312,The World of Apu,common,Satyajit Ray,1959,6121,['Drama'],India,4.3301748080379,6,9,8,34,73,312,519,1586,1502,2075
312,313,The Bride of Frankenstein,common,James Whale,1935,22709,['Horror'],USA,4.00502003610903,22,75,89,421,649,2746,3488,6607,3336,5276
314,315,Reservoir Dogs,common,Quentin Tarantino,1992,260890,"['Crime', 'Thriller']",USA,4.14382690022615,280,717,567,2973,3292,19553,29648,90677,51701,61482
315,316,Midnight Cowboy,common,John Schlesinger,1969,33818,['Drama'],USA,3.98475663847655,51,110,120,543,759,3279,5463,12008,5944,5544
316,317,The Sacrifice,common,Andrei Tarkovsky,1986,16974,['Drama'],Sweden,4.23880640980323,30,74,69,256,328,989,1617,4424,3665,5522
317,318,Dog Day Afternoon,common,Sidney Lumet,1975,64745,"['Drama', 'Thriller', 'Crime']",USA,4.19497258475558,19,96,76,410,585,3841,7583,22098,15078,14959
